Year,Month,Day,Period,R1,R2,R3
2024,3,15,1,2371.997776,679.640123,1013.838714
2024,3,15,2,2333.680012,718.6792381,1043.246084
2024,3,15,3,2312.629881,797.5266229,1032.192675
2024,3,15,4,2332.1468,925.6241388,1040.239335
2024,3,15,5,2441.373066,1003.379961,1092.025337
2024,3,15,6,2632.369888,1018.94573,1174.06063
2024,3,15,7,2666.061389,942.2313173,1163.133566
2024,3,15,8,1868.4416,613.6267799,810.857188
2024,3,15,9,1827.597143,579.610832,803.9227641
2024,3,15,10,1899.258561,589.0782202,844.1953205
2024,3,15,11,1947.542955,596.9705482,877.4096706
2024,3,15,12,1949.441015,595.5632976,886.4054454
2024,3,15,13,1942.251861,592.4903816,887.6393015
2024,3,15,14,1929.771186,590.8175912,887.9727592
2024,3,15,15,1924.853738,596.9670112,888.7244384
2024,3,15,16,1954.903618,602.0673711,895.5116232
2024,3,15,17,2050.09019,642.2235792,908.2138443
2024,3,15,18,3286.868375,1047.115626,1373.509293
2024,3,15,19,3562.95803,999.6822476,1386.744283
2024,3,15,20,3621.506959,912.6636652,1463.567826
2024,3,15,21,3471.274872,795.8274741,1510.633037
2024,3,15,22,3251.195778,719.7713789,1409.630978
2024,3,15,23,2970.746781,681.6225889,1287.198434
2024,3,15,24,2757.384433,670.194237,1207.258792
