Year,Month,Day,Period,R1,R2,R3
2024,3,15,1,2389.78197,827.2244954,1153.262139
2024,3,15,2,2391.977261,789.2950541,1074.635588
2024,3,15,3,2344.502713,778.6157333,1046.435083
2024,3,15,4,2396.849627,788.7150626,1045.934752
2024,3,15,5,2539.464548,836.8746374,1078.667549
2024,3,15,6,2823.694777,953.1234303,1166.811609
2024,3,15,7,2211.211213,780.4288846,921.4190446
2024,3,15,8,1950.52138,681.2322508,813.6314841
2024,3,15,9,2057.667196,683.7988661,836.0718425
2024,3,15,10,2150.452755,683.3509848,853.5914179
2024,3,15,11,2264.598943,693.9250228,873.1565806
2024,3,15,12,2325.536966,687.4260078,863.6768816
2024,3,15,13,2402.32756,676.1377864,862.4963711
2024,3,15,14,2459.801882,656.5746746,861.6583083
2024,3,15,15,2471.097033,637.1017611,848.8091601
2024,3,15,16,2616.005368,649.8767016,864.1834435
2024,3,15,17,2651.914366,670.2185281,870.8307825
2024,3,15,18,2926.526703,812.4735318,994.8907926
2024,3,15,19,3704.884332,1189.545784,1300.966104
2024,3,15,20,3755.184218,1210.987939,1403.889296
2024,3,15,21,3505.202969,1165.833972,1455.195197
2024,3,15,22,3153.073179,1079.71477,1382.507159
2024,3,15,23,2825.747649,968.6462968,1279.814567
2024,3,15,24,2588.022556,894.3653929,1169.803719
