Year,Month,Day,Period,R1,R2,R3
2024,3,15,1,2222.451563,663.5919624,944.9722676
2024,3,15,2,2219.701272,667.6448601,966.4412858
2024,3,15,3,2368.766616,697.3145593,979.4018457
2024,3,15,4,2707.41402,778.6489375,1039.746295
2024,3,15,5,3223.662276,911.6761678,1152.396864
2024,3,15,6,3362.933467,991.8938289,1239.002383
2024,3,15,7,2733.157612,823.1206752,1114.565369
2024,3,15,8,2000.444446,610.6983019,875.2994769
2024,3,15,9,2022.366268,622.7574218,926.7901787
2024,3,15,10,2020.474614,634.7569213,970.6605744
2024,3,15,11,1998.570559,613.3325222,1004.614092
2024,3,15,12,2035.593618,658.707043,1048.350045
2024,3,15,13,2028.163252,658.5898171,1048.73497
2024,3,15,14,2012.574039,648.3431395,1041.395018
2024,3,15,15,2042.568315,643.3336587,1022.601237
2024,3,15,16,2206.50201,668.1177298,998.2080806
2024,3,15,17,2437.14565,793.7792887,1103.765402
2024,3,15,18,3095.202198,1017.417738,1607.454717
2024,3,15,19,3170.640608,1044.285403,1722.912171
2024,3,15,20,3000.119698,982.0309536,1639.659599
2024,3,15,21,2659.70113,895.8755292,1504.227962
2024,3,15,22,2400.957938,803.1751828,1359.678185
2024,3,15,23,2272.842969,733.0306901,1214.021521
2024,3,15,24,2236.660093,687.8877908,1117.600701
