year,month,day,period,Solar1DA,Solar2DA,Solar62DA,Solar63DA,Solar65DA,Solar68DA,Solar70DA,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 12 1,Wind 12 2,Wind 12 3,Wind 12 4,Wind 12 5,Wind 12 6,Wind 12 7,Wind 13,Wind 13 1,Wind 13 2,Wind 13 3,Wind 13 4,Wind 13 5,Wind 15,Wind 15 1,Wind 16,Wind 16 1,Wind 16 2,Wind 16 3,Wind 16 4,Wind 16 5,Wind 16 6
2024,3,15,1,0,0,0,0,0,0,0,19.22854512,296.9084031,1.869625443,0.303816012,3.639436967,93.54991538,0,157.7628612,158.3765332,53.24937067,156.2786082,93.03517431,31.27598578,0.93405374,31.27598578,31.27598578,31.27598578,31.27598578,31.27598578,22.71379223,25.08949986,46.67661096,0,6.905252157,25.08949986,46.702687,46.702687,139.6410341,139.6410341,139.6410341,139.6410341,139.6410341,139.6410341,141.5064364
2024,3,15,2,0,0,0,0,0,0,0,99.13042343,272.4398614,0.032585984,1.565850636,2.462539289,69.19868035,0,135.1782968,165.419368,17.8965916,163.2866703,97.21015773,10.5115523,0.951911369,10.5115523,10.5115523,10.5115523,10.5115523,10.5115523,26.7889324,20.03936934,39.01700006,0,9.290865877,20.03936934,47.59556844,47.59556844,142.3107496,142.3107496,142.3107496,142.3107496,142.3107496,142.3107496,148.868915
2024,3,15,3,0,0,0,0,0,0,0,103.1401893,349.1930359,0.001407937,0.624127391,1.32635445,54.61325777,0,107.8134401,110.6179186,55.78511397,159.6551511,93.78765134,32.76535308,0.892704942,32.76535308,32.76535308,32.76535308,32.76535308,32.76535308,18.07139293,8.711671562,56.46497573,0,12.1452925,8.711671562,44.63524708,44.63524708,133.4593887,133.4593887,133.4593887,133.4593887,133.4593887,133.4593887,143.3123068
2024,3,15,4,0,0,0,0,0,0,0,85.59796462,307.31861,0,0.0020625,0.529613319,19.70328316,0,116.3667857,25.83564591,65.55549821,146.882861,88.67468735,38.50398239,0.885751264,38.50398239,38.50398239,38.50398239,38.50398239,38.50398239,33.5301991,8.898949677,53.38686831,0,14.67117839,8.898949677,44.2875632,44.2875632,132.419814,132.419814,132.419814,132.419814,132.419814,132.419814,133.9579658
2024,3,15,5,0,0,0,0,0,0,0,60.884281,188.3114014,0,0.242465678,0.767058147,2.115455852,0.004338774,113.4310346,2.482590793,89.147385,124.1394362,76.56030266,52.36066289,0.729666359,52.36066289,52.36066289,52.36066289,52.36066289,52.36066289,33.73169418,6.887724156,46.09315657,0,14.8048082,6.887724156,36.48331798,36.48331798,109.0851207,109.0851207,109.0851207,109.0851207,109.0851207,109.0851207,107.9518898
2024,3,15,6,0,0,0,0,0,0,0,54.99759203,218.1876839,0,3.019290134,2.428388386,1.476199044,0.125538714,93.64961086,0.279378666,90.96353958,114.8814003,70.69677,53.42738015,0.569580832,53.42738015,53.42738015,53.42738015,53.42738015,53.42738015,35.99668494,15.33486847,42.56308101,0.021139494,10.56564164,15.33486847,28.4790416,28.4790416,85.15233433,85.15233433,85.15233433,85.15233433,85.15233433,85.15233433,65.40505132
2024,3,15,7,0.078471214,43.7683669,0,20.93187927,18.6699811,2.132577616,4.684496761,66.29187894,227.6775117,0,1.935380686,1.933464543,0.343358722,0.398663802,93.66864839,0.275043262,106.7231607,114.3259478,73.38086605,62.68378413,0.374657671,62.68378413,62.68378413,62.68378413,62.68378413,62.68378413,39.21700865,1.998219562,44.17904448,0.747540082,6.474311846,1.998219562,18.73288353,18.73288353,56.01132173,56.01132173,56.01132173,56.01132173,56.01132173,56.01132173,22.25425563
2024,3,15,8,58.16211705,104.4834876,7.034325455,37.29911695,33.26857564,51.49855594,60.52410066,55.06432003,158.0735027,0.492770655,1.115322307,1.608986504,0.055984181,0.28281477,114.4891334,0,125.5765337,107.8086983,74.60153401,73.75730144,0.237038714,73.75730144,73.75730144,73.75730144,73.75730144,73.75730144,40.38867676,4.982473466,44.91394919,1.134696541,8.559314292,4.982473466,11.85193568,11.85193568,35.43728769,35.43728769,35.43728769,35.43728769,35.43728769,35.43728769,1.198797991
2024,3,15,9,119.7184778,195.9126198,4.424035433,41.9047183,37.37649587,65.31674731,92.56171654,41.99613711,117.0247584,0.22621868,0.203822412,1.006884161,0.237683561,0.683375102,138.0456041,0,142.3617871,93.89139425,83.86365198,83.61610985,0.10156487,83.61610985,83.61610985,83.61610985,83.61610985,83.61610985,49.8624185,24.99469544,50.49021919,2.228963818,19.29116232,24.99469544,5.078243506,5.078243506,15.18394808,15.18394808,15.18394808,15.18394808,15.18394808,15.18394808,15.57416803
2024,3,15,10,155.7099716,230.1394237,5.1743667,42.95101521,38.30972997,64.06034252,114.9326244,77.48575899,74.42660871,2.434838491,0.075149373,0.307971389,0,2.217572572,122.9977302,0,135.0559331,72.95804889,79.39403071,79.32502093,0.11642491,79.32502093,79.32502093,79.32502093,79.32502093,79.32502093,47.21659928,23.78270294,47.80001114,4.377753936,23.70253013,23.78270294,5.82124551,5.82124551,17.40552408,17.40552408,17.40552408,17.40552408,17.40552408,17.40552408,84.91096179
2024,3,15,11,154.2635667,265.8178826,5.907231704,48.63654795,43.38088423,73.67984224,133.2293909,88.66112813,120.4751506,8.8282493,0.726020634,0.448569124,0.020911823,0.019009582,135.0295659,0,136.1415309,65.91255463,80.08999947,79.96264614,0.151858187,79.96264614,79.96264614,79.96264614,79.96264614,79.96264614,47.84458007,11.10333544,48.17595924,7.276278284,37.34434838,11.10333544,7.592909361,7.592909361,22.70279899,22.70279899,22.70279899,22.70279899,22.70279899,22.70279899,119.6344182
2024,3,15,12,208.8349174,276.2713993,7.694092063,55.18770408,49.22412265,81.70837852,96.74118071,89.06625383,274.4931465,24.47298265,6.085550454,1.35980065,15.0391314,0,145.5672489,0,144.6298865,59.3240512,85.76357356,84.94827674,0.156866432,84.94827674,84.94827674,84.94827674,84.94827674,84.94827674,32.36271875,10.89712818,51.3915427,10.17100875,42.33825104,10.89712818,7.843321632,7.843321632,23.45153168,23.45153168,23.45153168,23.45153168,23.45153168,23.45153168,131.1105328
2024,3,15,13,134.0312423,281.1740538,15.78900711,53.94842164,48.11875704,91.52735438,106.738798,93.67017477,293.5282845,33.5696544,5.062353586,0.954260451,8.351094131,0,150.2640651,0.022196098,152.8346886,62.66173073,91.29564818,89.76736227,0.224531095,89.76736227,89.76736227,89.76736227,89.76736227,89.76736227,46.39569462,15.97598519,54.6869669,8.444608752,41.10230166,15.97598519,11.22655472,11.22655472,33.56739863,33.56739863,33.56739863,33.56739863,33.56739863,33.56739863,139.2085026
2024,3,15,14,244.8415837,275.1114865,16.36295918,52.62419325,46.93762472,81.7511803,103.6116792,85.36480172,248.2974593,31.49471463,7.68994647,1.214242882,0.23304471,0,141.7685049,0.300319111,156.6963226,65.97821358,93.68341369,92.03549069,0.167591716,92.03549069,92.03549069,92.03549069,92.03549069,92.03549069,50.04319414,17.54648357,51.94104107,7.982308208,53.35301269,17.54648357,8.379585818,8.379585818,25.05496159,25.05496159,25.05496159,25.05496159,25.05496159,25.05496159,143.2905254
2024,3,15,15,225.6860006,246.7286051,25.44147033,37.12157302,33.1102171,67.12382774,98.63392651,104.4033807,271.2485029,27.28577109,5.128705016,0.902539763,1.085149768,0,153.9188111,0.048704312,165.59152,72.57225559,99.48891846,97.26007955,0.167240658,97.26007955,97.26007955,97.26007955,97.26007955,97.26007955,41.353667,16.63915412,32.48169899,13.06463231,58.84521398,16.63915412,8.362032905,8.362032905,25.00247839,25.00247839,25.00247839,25.00247839,25.00247839,25.00247839,152.4500949
