Year,Month,Day,Period,R1,R2,R3
2024,3,15,1,2487.91006,786.2934714,1090.044245
2024,3,15,2,2432.126066,752.4249773,1048.899843
2024,3,15,3,2360.862993,728.1341798,1007.705452
2024,3,15,4,2326.869001,724.5968777,989.2723426
2024,3,15,5,2325.807506,730.5758947,991.7141914
2024,3,15,6,2330.378098,748.8855753,1005.043056
2024,3,15,7,1621.441953,517.3816799,691.3572522
2024,3,15,8,1245.919008,393.5161771,529.8524977
2024,3,15,9,1455.986071,448.6627195,606.4559934
2024,3,15,10,1618.020963,494.2358518,663.4819551
2024,3,15,11,1665.41823,501.534166,680.290305
2024,3,15,12,1653.712064,502.2839352,680.1213849
2024,3,15,13,1666.239985,495.2258171,675.1579762
2024,3,15,14,1638.924745,488.9927704,666.9263449
2024,3,15,15,1587.951692,477.7461274,653.2325781
2024,3,15,16,1566.712917,471.6715455,651.2912348
2024,3,15,17,1751.685638,519.5332491,733.3086775
2024,3,15,18,2927.355408,845.0418322,1260.197827
2024,3,15,19,3648.611232,1110.735628,1674.958618
2024,3,15,20,3519.326385,1106.981996,1618.591975
2024,3,15,21,3428.454872,1052.845416,1521.105925
2024,3,15,22,3309.853089,963.7608546,1390.247196
2024,3,15,23,3077.990472,855.1693127,1251.314728
2024,3,15,24,2772.956863,775.0925178,1111.800699
