Year,Month,Day,Period,R1,R2,R3
2024,3,15,1,2415.335773,700.2377997,1034.672893
2024,3,15,2,2298.027426,692.5951379,1024.921283
2024,3,15,3,2313.06682,728.8017096,1008.327631
2024,3,15,4,2333.019764,769.2050638,998.5279513
2024,3,15,5,2430.700848,824.44528,1027.470399
2024,3,15,6,2550.565859,876.7010186,1086.478846
2024,3,15,7,2100.091814,737.4028903,897.2708988
2024,3,15,8,1810.614925,627.8207837,767.8303016
2024,3,15,9,1653.338825,530.7434598,776.240972
2024,3,15,10,1593.684033,506.5989776,744.5495511
2024,3,15,11,1550.580479,482.2630568,748.2368172
2024,3,15,12,1500.696816,462.5538787,741.0293283
2024,3,15,13,1516.386957,448.8913292,687.0022694
2024,3,15,14,1507.842528,453.2020217,736.7701524
2024,3,15,15,1581.311455,461.8981523,746.5217927
2024,3,15,16,1690.918,503.3387288,796.2298441
2024,3,15,17,1930.839468,619.8757635,929.6180945
2024,3,15,18,2656.062968,869.8900844,1279.355133
2024,3,15,19,3055.151924,1038.268151,1465.197956
2024,3,15,20,3132.185038,952.1670603,1522.2326
2024,3,15,21,3004.65161,860.6991425,1522.056598
2024,3,15,22,2822.077719,782.8537694,1429.187638
2024,3,15,23,2637.322265,724.043047,1314.229565
2024,3,15,24,2539.344657,686.6281951,1187.036213
