year,month,day,period,Solar1DA,Solar2DA,Solar62DA,Solar63DA,Solar65DA,Solar68DA,Solar70DA,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 12 1,Wind 12 2,Wind 12 3,Wind 12 4,Wind 12 5,Wind 12 6,Wind 12 7,Wind 13,Wind 13 1,Wind 13 2,Wind 13 3,Wind 13 4,Wind 13 5,Wind 15,Wind 15 1,Wind 16,Wind 16 1,Wind 16 2,Wind 16 3,Wind 16 4,Wind 16 5,Wind 16 6
2024,3,15,1,0,0,0,0,0,0,0,15.22869494,235.1466253,1.480712937,0.240617339,2.882374874,74.09001118,0,124.9456197,125.4316379,42.17263535,123.7701155,73.68234463,24.77007196,0.739755367,24.77007196,24.77007196,24.77007196,24.77007196,24.77007196,17.98895395,19.87047575,36.96711658,0,5.468847379,19.87047575,36.98776838,36.98776838,110.5934274,110.5934274,110.5934274,110.5934274,110.5934274,110.5934274,112.0707957
2024,3,15,2,0,0,0,0,0,0,0,73.45883248,201.8867009,0.024147263,1.16034569,1.824820826,51.27844805,0,100.1714662,122.5810727,13.26195005,121.0006751,72.03585383,7.789398376,0.705396944,7.789398376,7.789398376,7.789398376,7.789398376,7.789398376,19.85146063,14.84981729,28.9128521,0,6.884830474,14.84981729,35.26984722,35.26984722,105.4568432,105.4568432,105.4568432,105.4568432,105.4568432,105.4568432,110.3166547
2024,3,15,3,0,0,0,0,0,0,0,77.11922726,261.0960604,0.001052733,0.466667964,0.991732039,40.83502528,0,80.61347613,82.71042024,41.71123701,119.3761807,70.12621604,24.49906993,0.667486803,24.49906993,24.49906993,24.49906993,24.49906993,24.49906993,13.51220962,6.513827282,42.21957827,0,9.081189189,6.513827282,33.37434017,33.37434017,99.78927708,99.78927708,99.78927708,99.78927708,99.78927708,99.78927708,107.1564289
2024,3,15,4,0,0,0,0,0,0,0,62.93047425,225.9365156,0,0.001516322,0.389364601,14.48558922,0,85.55129837,18.99401998,48.19552206,107.9863072,65.19243949,28.30761085,0.651192436,28.30761085,28.30761085,28.30761085,28.30761085,28.30761085,24.65095216,6.542388315,39.24930875,0,10.78605336,6.542388315,32.55962181,32.55962181,97.35326924,97.35326924,97.35326924,97.35326924,97.35326924,97.35326924,98.48409779
2024,3,15,5,0,0,0,0,0,0,0,49.06296632,151.7487896,0,0.195388452,0.618125852,1.704718156,0.003496356,91.4072227,2.00057004,71.83849552,100.036477,61.69532577,42.19429708,0.587994067,42.19429708,42.19429708,42.19429708,42.19429708,42.19429708,27.18233587,5.550401068,37.14369212,0,11.93030113,5.550401068,29.39970337,29.39970337,87.90511303,87.90511303,87.90511303,87.90511303,87.90511303,87.90511303,86.99191065
2024,3,15,6,0,2.719288188,0.443774092,0.251249167,0.22409919,0,1.050929867,44.50399103,176.557234,0,2.443206258,1.965049213,1.194538644,0.101585789,75.78116218,0.22607291,73.60759625,92.96190283,57.20774858,43.2333773,0.460904183,43.2333773,43.2333773,43.2333773,43.2333773,43.2333773,29.12847789,12.40895871,34.44199837,0.017106056,8.549705606,12.40895871,23.04520916,23.04520916,68.90517535,68.90517535,68.90517535,68.90517535,68.90517535,68.90517535,52.92569564
2024,3,15,7,55.18993085,80.55863139,10.02312607,5.614996639,5.008240294,1.705613854,45.48519225,56.03315983,192.4442422,0,1.635879041,1.634259422,0.290223696,0.336970273,79.17335321,0.232480106,90.20766971,96.63391969,62.02512074,52.98342046,0.316679109,52.98342046,52.98342046,52.98342046,52.98342046,52.98342046,33.14814648,1.688993552,37.34230346,0.631857681,5.472407122,1.688993552,15.83395543,15.83395543,47.34352673,47.34352673,47.34352673,47.34352673,47.34352673,47.34352673,18.8103925
2024,3,15,8,219.1955844,131.5500735,41.26014093,25.65237261,22.8803781,32.74199456,55.90183605,44.70422846,128.3327203,0.400058185,0.905479686,1.306263297,0.045451022,0.229604508,92.94854403,0,101.9499024,87.52500124,60.56560796,59.88021376,0.192441,59.88021376,59.88021376,59.88021376,59.88021376,59.88021376,32.78973811,4.045044631,36.46360192,0.92120875,6.94891976,4.045044631,9.622049999,9.622049999,28.76992949,28.76992949,28.76992949,28.76992949,28.76992949,28.76992949,0.973249814
2024,3,15,9,379.3017161,181.691267,70.66238506,31.41910268,28.02395551,41.97367851,53.97920196,30.04627347,83.72574566,0.161848893,0.145825411,0.720378562,0.17005148,0.488922949,98.76517835,0,101.8532056,67.1749047,60.00052374,59.82341891,0.072664918,59.82341891,59.82341891,59.82341891,59.82341891,59.82341891,35.67423018,17.88253649,36.12339224,1.594719444,13.80192509,17.88253649,3.633245904,3.633245904,10.86340525,10.86340525,10.86340525,10.86340525,10.86340525,10.86340525,11.14258939
2024,3,15,10,496.8349011,232.1276014,99.56345201,49.34037852,44.0086589,32.57536051,81.04357454,60.03729346,57.66701142,1.886554574,0.058227021,0.238621508,0,1.718213218,95.30074844,0,104.6436506,56.52914612,61.51585509,61.46238513,0.090208015,61.46238513,61.46238513,61.46238513,61.46238513,61.46238513,36.58422998,18.42724566,37.03626749,3.391958745,18.36512639,18.42724566,4.510400744,4.510400744,13.48609823,13.48609823,13.48609823,13.48609823,13.48609823,13.48609823,65.79046779
